timestamp,device_id,dev_eui,fcnt,encryption_scheme,payload_length,encrypted_payload_length,encryption_time_ns,transmission_time_s,energy_consumption_nj,packet_loss,gateway_id,snr,rssi,data_rate,frequency,sf,bandwidth_hz,rx_power_dbm,tx_start,tx_end
120.0,DEV_010,4619a09041ab026b,0,Hybrid-ECC-AES,45,93,162700,1.642496,16862048.406586755,False,GW_1,26.281638060175865,-87.77776982311035,5,867.3,12,250000,-87.77776982311035,120.0,121.642496
120.0,DEV_014,6d10c6ab3016214a,0,ChaCha20-Poly1305,25,53,41400,0.328704,6331240.140147662,False,GW_2,49.96293592243315,-65.59775349944682,3,867.7,9,125000,-65.59775349944682,120.0,120.328704
121.0,DEV_004,0fdf179ede7911aa,1,AES-128-GCM,11,39,55800,0.077056,850858.745599224,False,GW_1,23.790958211944435,-90.41611997823664,5,868.5,8,250000,-90.41611997823664,121.0,121.077056
121.0,DEV_007,e3d098a80cc45ce0,1,ChaCha20-Poly1305-Lite,41,57,24400,0.308224,6920811.008035603,False,GW_2,26.100079925337482,-83.75832488776337,5,867.5,11,500000,-83.75832488776337,121.0,121.308224
121.0,DEV_008,acd53140c023c37a,1,ChaCha20-Poly1305-Lite,48,64,21800,0.097536,1818310.923504727,False,GW_2,39.67147878066367,-72.21042461671911,5,867.9,9,500000,-72.21042461671911,121.0,121.097536
121.0,DEV_011,3e9eab81acc2d90c,1,ChaCha20-Poly1305,32,60,21300,0.028224,427343.74388669414,False,GW_1,31.834269372552686,-77.21772102676019,5,868.5,7,500000,-77.21772102676019,121.0,121.028224
121.0,DEV_013,3f1fdbaceaf6af6d,1,AES-128-GCM,26,54,49000,0.184832,4422971.538182129,False,GW_2,38.37188537722118,-78.74364149183234,4,867.7,8,125000,-78.74364149183234,121.0,121.184832
121.0,DEV_015,43f01e2b7ac8a8f8,1,AES-128-GCM,10,38,41000,0.45260799999999995,9325121.55258484,False,GW_2,30.190459920442507,-82.68677828279408,5,868.3,12,500000,-82.68677828279408,121.0,121.452608
123.0,DEV_006,787176f17fbdca08,3,ChaCha20-Poly1305-Lite,33,49,24300,0.267264,3863647.726280463,False,GW_1,22.225130243436055,-89.85205388359225,5,868.5,11,500000,-89.85205388359225,123.0,123.267264
123.0,DEV_016,9439ff9ffb85875d,3,Advanced-ECC-AES,44,224,1423100,0.17676799999999998,2163033.283811834,False,GW_2,22.45030410053516,-91.39830071801005,6,868.1,7,250000,-91.39830071801005,123.0,123.176768
123.0,DEV_017,17ffad60894390d1,3,Hybrid-ECC-AES,19,67,139300,0.184832,2143544.0795874693,False,GW_1,24.755025281842908,-86.66376148365318,5,867.1,10,500000,-86.66376148365318,123.0,123.184832
140.0,DEV_020,b2c201b84a9af945,2,Advanced-ECC-AES,37,217,1301800,0.5432319999999999,13402929.867772404,False,GW_1,23.686195915895564,-87.93651716737274,5,867.7,9,250000,-87.93651716737274,140.0,140.543232
141.0,DEV_005,58ea5af6ab6a0941,3,ChaCha20-Poly1305-Lite,49,65,34400,0.369664,7867583.637984228,False,GW_1,29.818717370528542,-82.67708262098421,5,868.1,10,250000,-82.67708262098421,141.0,141.369664
146.0,DEV_003,9248fc49325b5799,2,ChaCha20-Poly1305,27,55,23500,0.575488,11157630.78527769,False,GW_2,31.725330256097934,-83.02419731270268,5,867.5,11,250000,-83.02419731270268,146.0,146.575488
154.0,DEV_006,787176f17fbdca08,4,ChaCha20-Poly1305-Lite,33,49,21600,0.267264,3863647.726280463,False,GW_2,20.388616191179153,-91.42841542765527,5,868.3,11,500000,-91.42841542765527,154.0,154.267264
154.0,DEV_016,9439ff9ffb85875d,4,Advanced-ECC-AES,44,224,1412500,0.17676799999999998,2163033.283811834,False,GW_2,27.041560776941154,-87.47931375725186,6,867.5,7,250000,-87.47931375725186,154.0,154.176768
